OrganizationName,OrganizationID,RepositoryURL,bom-ref,type,group,name,version,purl,dependsOn
,,https://github.com/zjunlp/EasyEdit,6ed587eb-360a-49c0-bffd-a741d4099af3,application,,demo/SafeEdit_demo/requirements.txt,,,"pkg:pypi/gradio@4.5.0, pkg:pypi/tokenizers@0.14.1, pkg:pypi/transformers@4.34.0"
,,https://github.com/zjunlp/EasyEdit,8c06c69f-3ad0-4273-aa66-ea56258f98d8,application,,requirements.txt,,,"pkg:pypi/datasets@1.18.3, pkg:pypi/einops@0.4.0, pkg:pypi/fairscale@0.4.13, pkg:pypi/gpustat@1.1, pkg:pypi/higher@0.2.1, pkg:pypi/hydra-core@1.1.1, pkg:pypi/importlib-metadata@6.3.0, pkg:pypi/iopath@0.1.10, pkg:pypi/matplotlib@3.5.1, pkg:pypi/nltk@3.6.5, pkg:pypi/numpy@1.22.1, pkg:pypi/omegaconf@2.1.1, pkg:pypi/openai@0.27.9, pkg:pypi/opencv-python@4.8.0.76, pkg:pypi/pandas@1.4.0, pkg:pypi/peft@0.7.1, pkg:pypi/pyyaml@6.0, pkg:pypi/scikit-learn@1.0.2, pkg:pypi/scipy@1.7.3, pkg:pypi/sentence-transformers@2.2.2, pkg:pypi/timm@0.9.7, pkg:pypi/tokenizers@0.13.3, pkg:pypi/torch@2.0.1, pkg:pypi/tqdm@4.62.3, pkg:pypi/transformers@4.40.0"
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/datasets@1.18.3,library,,datasets,1.18.3,pkg:pypi/datasets@1.18.3,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/einops@0.4.0,library,,einops,0.4.0,pkg:pypi/einops@0.4.0,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/fairscale@0.4.13,library,,fairscale,0.4.13,pkg:pypi/fairscale@0.4.13,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/gpustat@1.1,library,,gpustat,1.1,pkg:pypi/gpustat@1.1,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/gradio@4.5.0,library,,gradio,4.5.0,pkg:pypi/gradio@4.5.0,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/higher@0.2.1,library,,higher,0.2.1,pkg:pypi/higher@0.2.1,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/hydra-core@1.1.1,library,,hydra-core,1.1.1,pkg:pypi/hydra-core@1.1.1,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/importlib-metadata@6.3.0,library,,importlib-metadata,6.3.0,pkg:pypi/importlib-metadata@6.3.0,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/iopath@0.1.10,library,,iopath,0.1.10,pkg:pypi/iopath@0.1.10,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/matplotlib@3.5.1,library,,matplotlib,3.5.1,pkg:pypi/matplotlib@3.5.1,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/nltk@3.6.5,library,,nltk,3.6.5,pkg:pypi/nltk@3.6.5,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/numpy@1.22.1,library,,numpy,1.22.1,pkg:pypi/numpy@1.22.1,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/omegaconf@2.1.1,library,,omegaconf,2.1.1,pkg:pypi/omegaconf@2.1.1,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/openai@0.27.9,library,,openai,0.27.9,pkg:pypi/openai@0.27.9,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/opencv-python@4.8.0.76,library,,opencv-python,4.8.0.76,pkg:pypi/opencv-python@4.8.0.76,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/pandas@1.4.0,library,,pandas,1.4.0,pkg:pypi/pandas@1.4.0,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/peft@0.7.1,library,,peft,0.7.1,pkg:pypi/peft@0.7.1,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/pyyaml@6.0,library,,PyYAML,6.0,pkg:pypi/pyyaml@6.0,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/scikit-learn@1.0.2,library,,scikit-learn,1.0.2,pkg:pypi/scikit-learn@1.0.2,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/scipy@1.7.3,library,,scipy,1.7.3,pkg:pypi/scipy@1.7.3,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/sentence-transformers@2.2.2,library,,sentence-transformers,2.2.2,pkg:pypi/sentence-transformers@2.2.2,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/timm@0.9.7,library,,timm,0.9.7,pkg:pypi/timm@0.9.7,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/tokenizers@0.13.3,library,,tokenizers,0.13.3,pkg:pypi/tokenizers@0.13.3,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/tokenizers@0.14.1,library,,tokenizers,0.14.1,pkg:pypi/tokenizers@0.14.1,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/torch@2.0.1,library,,torch,2.0.1,pkg:pypi/torch@2.0.1,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/tqdm@4.62.3,library,,tqdm,4.62.3,pkg:pypi/tqdm@4.62.3,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/transformers@4.34.0,library,,transformers,4.34.0,pkg:pypi/transformers@4.34.0,
,,https://github.com/zjunlp/EasyEdit,pkg:pypi/transformers@4.40.0,library,,transformers,4.40.0,pkg:pypi/transformers@4.40.0,
